Loaded test-roms/TST8080.COM to 0x0100, Size: 1536 bytes
PC: 0249, AF: F587, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 4F 02 DA)
PC: 024C, AF: F587, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DA 52 02 CD)
PC: 0252, AF: F587, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CE 0A CE 0A)
PC: 0254, AF: 0057, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CE 0A FE 0B)
PC: 0256, AF: 0B02, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 0B CA 5E)
PC: 0258, AF: 0B56, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 5E 02 CD)
PC: 025E, AF: 0B56, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (D6 0C D6 0F)
PC: 0260, AF: FF87, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (D6 0F FE F0)
PC: 0262, AF: F096, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE F0 CA 6A)
PC: 0264, AF: F056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 6A 02 CD)
PC: 026A, AF: F056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DE F1 DE 0E)
PC: 026C, AF: FF87, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DE 0E FE F0)
PC: 026E, AF: F096, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE F0 CA 76)
PC: 0270, AF: F056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 76 02 CD)
PC: 0276, AF: F056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E6 55 FE 50)
PC: 0278, AF: 5006, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 50 CA 80)
PC: 027A, AF: 5056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 80 02 CD)
PC: 0280, AF: 5056, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (F6 3A FE 7A)
PC: 0282, AF: 7A02, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 7A CA 8A)
PC: 0284, AF: 7A56, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 8A 02 CD)
PC: 028A, AF: 7A56, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (EE 0F FE 75)
PC: 028C, AF: 7502, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 75 CA 94)
PC: 028E, AF: 7556, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (CA 94 02 CD)
PC: 0294, AF: 7556, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E6 00 DC A0)
PC: 0296, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (DC A0 06 E4)
PC: 0299, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (E4 A0 06 FC)
PC: 029C, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FC A0 06 C4)
PC: 029F, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (C4 A0 06 FE)
PC: 02A2, AF: 0046, BC: 0009, DE: 0000, HL: 0000, SP: 07BD, CYC: 0 (FE 00 CA AA)
